term	hits	files	proposing_entries	inherited_lead	disposition
三十棒	2766	310	德山棒、棒、腳跟下	Zen-allowlist count: 672 hits in 176 texts. Deployment inventory includes blow-verdict, direct instruction, question, spatial reversal, and the compound 'the matter under your heels' (腳跟下事). Family check with heel (腳跟), underfoot (腳下), on the spot (立地), one's own part (本分), thirty blows (三十棒), and atop the head (頭上) supports one spatial referent used in several interview acts. Literal and loaded uses were not split because the loaded deployment keeps the same deictic location rather than naming a different thing. | Allowlist counts recorded in the audit: the headword “staff/blow” (棒), 18,109 hits in 415 texts; “one blow” (一棒), 2,954; “thirty blows” (三十棒), 2,766; “twenty blows” (二十棒), 407; “one bout of blows” (一頓棒), 63; “receive a blow” (喫棒), 1,191; and “painful blows” (痛棒), 752. The object-versus-blow split is preserved and strengthened: six object witnesses and seven act witnesses, with every sense independently anchored. Attribution remains cautious because several formulas circulate in raised cases and later compilations, and witnesses differ over which Deshan bears the thirty-blows formula.	SELECTED_NEXT500
禪床	2694	313	坐禪、如何是佛法大意、擊禪床、逍遙		SELECTED_NEXT500
今時	2638	332	劫外		UNREVIEWED_INVESTIGATION
覿面	2633	335	當機	Literally, “at / meet the trigger or occasion.” In Chan records the occasion is repeatedly public and interpersonal: one account says that in all his questions and answers he “did not yield when meeting the occasion” (問答，當機不讓); a verse pairs a clear question and a direct answer with “meeting face-to-face on the occasion” (當機覿面). The phrase can introduce a request—“with one phrase meeting the occasion, please speak the teaching” (一句當機請師說法)—or appraise an immediate response. A master strikes the staff and says, “freed through on the occasion; it is no other thing” (當機透脫，更非別物). Yuanwu's verse says that buddhas and patriarchs “value what is ready-made when meeting the occasion” (佛祖當機貴見成) and immediately calls for someone to come before the assembly and settle doubt. Thus the corpus bends a general word for apt timing toward the live occasion of encounter, question, answer, and response.	SELECTED_NEXT500
身心	2632	342	迴光返照	' (迴光返照看身心是何物). Shitou's Grass Hut Song says, 'turn the light around and shine back, then return' (迴光返照便歸來). Linji tells his listeners that at the words they should 'themselves turn the light around and shine back, seeking nothing else' (便自迴光返照，更不別求). Chengtian Cique says, 'only turn the light around and shine back; carefully search beneath your own heels and look what it is' (但自迴光返照，向自己脚根下子細推尋，看是箇什麼). Gongchen Jueke closes an address with 'each of you, please turn the light around and shine back; do not hesitate further' (各請迴光返照，休更踟躕). Fenyang's verse supplies a result-clause: 'turn the light around and shine back, illuminating present and past' (迴光返照明今古). The corpus thus records an imperative verb phrase, a poetic return, a prohibition on seeking elsewhere, and direct objects or complements such as body and mind, beneath one's heels, and present and past.	UNREVIEWED_INVESTIGATION
放過	2625	321	一著	"Literally ""one"" (一) ""move, placement, or stroke"" (著): ""one move,"" attested 3,121 times in 351 allowlisted texts. The game-like noun appears in recurring Chan compounds: ""let one move pass"" (放過一著, 617 occurrences), ""the final move"" (末後一著, 104), ""the upward move"" (向上一著, 279), ""one move ahead"" (先一著, 38), and the suffixed ""one move"" (一著子, 601). A case-comment collection appraises an earlier response as ""precisely letting one move pass,"" then adds ""danger"" (正是放過一著；險). A lamp address pairs ""Linji's vanguard—let one move pass"" with ""Deshan's later command—set it aside"" (臨濟先鋒，放過一著；德山後令，且在一邊). Questions ask, ""before living beings and buddhas arose, where did one move fall?"	SELECTED_NEXT500
凡聖	2602	352	迷悟	""" (凡聖本來不二，迷悟豈有殊途). Zhe'an says, ""confusion and awakening are not different; motion and stillness have one source"" (迷悟不異，動靜一源)."	UNREVIEWED_INVESTIGATION
本分	2558	321	本分事、本地、腳跟下	The graphs join 'one's own portion, allotment, or lot' (本分) to 'matter or affair' (事): the matter that belongs to one's own basic lot. The corpus sets it against 'outside one's lot' or 'extra' (分外) and records about 840 occurrences across 184 allowlisted texts. It is repeatedly asked as 'what is one's own fundamental matter? | ' (如何是本分事), 'what is the student's own fundamental matter? | Zen-allowlist count: 672 hits in 176 texts. Deployment inventory includes blow-verdict, direct instruction, question, spatial reversal, and the compound 'the matter under your heels' (腳跟下事). Family check with heel (腳跟), underfoot (腳下), on the spot (立地), one's own part (本分), thirty blows (三十棒), and atop the head (頭上) supports one spatial referent used in several interview acts. Literal and loaded uses were not split because the loaded deployment keeps the same deictic location rather than naming a different thing.	SELECTED_NEXT500
見聞	2509	320	聲色	Allowlist count for the unsplit string: 2,214 hits in 311 texts. Primary family check: 'visible form/color' (色), 'sound' (聲), 'seeing and hearing' (見聞), 'sound, form, and language' (聲色言語), and 'sound, form, and names' (聲色名字). The ordinary 'sensual attractions' and the idiom 'without changing voice or expression' refer to different things and are split below under depth-gate item 8.	UNREVIEWED_INVESTIGATION
妄想	2498	335	分別	To divide (分) and to distinguish or separate (別): 'to distinguish' or 'tell apart,' and as a noun, distinguishing. The Chan corpus most often places it in negative constructions: 'do not arouse distinguishing' (不起分別), 'do not distinguish' (莫分別), and 'apart from distinguishing' (離分別). It is paired with 'thinking' (思量)—'thinking and distinguishing' (思量分別, 165 occurrences)—and with 'deluded thought' (妄想), as 'deluded-thought distinguishing' (妄想分別). Dahui says, 'this matter is not what thinking and distinguishing can grasp; now say—when you neither distinguish nor think, what is it? | 且道不分別不思量時是箇甚麼). One passage says, 'because of second-thought distinguishing there are marks; apart from distinguishing there really are no marks' (以第二念分別故有相；若離分別，實無有相). Another says, 'when the distinguishing mind arises, one sees objects existing—this is called ignorance' (分別心起，見有境界，名為無明). A positive use also occurs: the Platform Record preserves the line, 'well able to distinguish the marks of all things, yet unmoved from the first principle' (能善分別諸法相，於第一義而不動). Attested collocations include 'the distinguishing mind' (分別心, 88 occurrences), 'without distinguishing' (無分別, 436), 'arouse or not arouse distinguishing' (起／不起分別), 'thinking and distinguishing' (思量分別), and 'deluded-thought distinguishing' (妄想分別). The entry records these uses without replacing 'distinguish' with an abstract theory.	UNREVIEWED_INVESTIGATION
自心	2387	259	自性		UNREVIEWED_INVESTIGATION
行脚	2378	167	破草鞋、草鞋、衲子	The allowlisted concordance has 418 matches in 147 texts. The retained set covers the direct comparison to the patriarchs' dark purport, a direct Way question, a buddha question, the travel-on-foot institutional collocation, and the barefoot consequence. Family revalidation against “straw sandals” (草鞋), “travel on foot” (行脚), and “wear out straw sandals” (踏破草鞋) confirms one object sense. ‘Wear out sandals’ is a verb phrase involving that object, not a second thing. | Footwear woven from grass or straw. In Chan records the sandals belong especially to going on foot between teachers: “to wear out straw sandals” (踏破草鞋) and “buy more straw sandals and travel on foot for thirty years” (更買草鞋行脚三十年) make the ordinary shoe part of the institutional life of itinerant inquiry. The object also enters named encounters: Deshan turns his back on the hall, puts on his sandals, and leaves; Zhaozhou puts a sandal on his head after Nanquan recounts cutting the cat. Huangbo calls “the patriarchs' dark purport” (祖師玄旨) “worn-out straw sandals” (破草鞋) and says bare feet would be better. The corpus records these concrete actions and comparisons without supplying a symbolic gloss for the sandals.	SELECTED_NEXT500
打破	2320	319	疑團	Literally ‘a mass of doubt.’ The Chan record makes doubt materially mass-like: a discourse says that inside and outside ‘roll into one mass of doubt’ (滾作一箇疑團), and other records speak of making the whole body, sitting, walking, dressing, eating, and even the encountered world into that mass. The same physical grammar governs its end: it is ‘broken through’ (打破疑團), or remains ‘unbroken’ (疑團不破). In an autobiographical public account, repeated blows make the speaker's mass of doubt more acute (疑團愈切). Thus the phrase is not merely ordinary uncertainty; these later Chan records deploy it as the consolidated, bodily condition named around sustained investigation and its reported breaking. The corpus does not make the mass a separate object from the doubt or state a further gloss for the breaking.	UNREVIEWED_INVESTIGATION
知見	2307	272	情解	The Zen deviation is institutional and textual: ‘subjective understanding’ (情解) is a recurrent negative label in public-case commentary for understandings generated around quoted sayings. Cross-checking ‘intellectual understanding’ (知解), ‘discriminating feelings’ (識情), and ‘knowledge and views’ (知見) supports this narrower deployment. Apparent nominal and verbal surroundings do not make the headword itself different things.	UNREVIEWED_INVESTIGATION
開堂	2270	299	舉揚		SELECTED_NEXT500
正眼	2258	337	千手眼		SELECTED_NEXT500
明明	2219	336	歷歷		UNREVIEWED_INVESTIGATION
